Name,Country,Continent,Population,Average Age
Ontario,Canada,North America,14446515,40.4
Quebec,Canada,North America,8433301,42.6
British Columbia,Canada,North America,5020302,42.2
Alberta,Canada,North America,4345737,37.1
Manitoba,Canada,North America,1360396,37.4
Saskatchewan,Canada,North America,1168423,37.4
Nova Scotia,Canada,North America,965382,44.9
New Brunswick,Canada,North America,772094,46
Newfoundland,Canada,North America,523790,47.1
Prince Edward Island,Canada,North America,154748,43.2
Northwest Territory,Canada,North America,44598,35.2
Yukon,Canada,North America,40369,39.2
Nunavut,Canada,North America,38787,26.2
Canada,Canada,North America,37314442,40.8
