Location,Time,PopMale,PopFemale,PopTotal,PopDensity
Afghanistan,2019,19529.727,18512.03,38041.757,58.269
Africa,2019,653513.68,654550.496,1308064.176,44.119
African Group,2019,652644.714,653675.858,1306320.572,44.464
African Union,2019,652949.469,653953.561,1306903.03,44.085
African Union: Central Africa,2019,76945.498,77068.207,154013.705,29.192
African Union: Eastern Africa,2019,190633.88,191897.339,382531.219,59.835
African Union: Northern Africa,2019,102362.525,101130.701,203493.226,28.925
African Union: Southern Africa,2019,88295.489,91661.003,179956.492,30.458
African Union: Western Africa,2019,194712.077,192196.311,386908.388,76.875
"African, Caribbean and Pacific (ACP) Group of States",2019,573953.218,576237.357,1150190.575,47.628
Albania,2019,1466.785,1414.128,2880.913,105.143
Algeria,2019,21749.666,21303.388,43053.054,18.076
American Samoa,2019,,,55.312,276.56
Andean Community,2019,55331.532,56405.132,111736.664,30.027
Andorra,2019,,,77.146,164.14
Angola,2019,15744.779,16080.52,31825.299,25.528
Anguilla,2019,,,14.872,165.244
Antigua and Barbuda,2019,46.851,50.264,97.115,220.716
Argentina,2019,21841.415,22939.26,44780.675,16.363
Armenia,2019,1391.269,1566.459,2957.728,103.889
Aruba,2019,50.443,55.867,106.31,590.611
Asia,2019,2353466.245,2247905.021,4601371.266,148.273
Asia-Pacific Economic Cooperation (APEC),2019,1487063.708,1469181.57,2956245.278,49.16
Asia-Pacific Group,2019,2344133.868,2238002.391,4582136.259,146.198
Association of Southeast Asian Nations (ASEAN),2019,330019.461,330699.265,660718.726,152.738
Australia,2019,12551.311,12651.889,25203.2,3.281
Australia/New Zealand,2019,14902.473,15083.789,29986.262,3.774
Austria,2019,4409.38,4545.728,8955.108,108.667
Azerbaijan,2019,5015.834,5031.885,10047.719,121.558
BRIC,2019,1617089.931,1540033.296,3157123.227,85.106
BRICS,2019,1645949.233,1569732.261,3215681.494,83.94
Bahamas,2019,189.23,200.256,389.486,38.91
Bahrain,2019,1054.797,586.367,1641.164,2159.426
Bangladesh,2019,82473.791,80572.382,163046.173,1252.563
Barbados,2019,138.813,148.208,287.021,667.491
Belarus,2019,4399.913,5052.496,9452.409,46.584
